Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),DownloadYear,Date,Precip_Last_Day,Mean_Temp_Last_Day,Precip_3day_sum,Total_Rain_3day_sum,Total_Snow_3day_sum,Precip_7day_sum,Total_Rain_7day_sum,Total_Snow_7day_sum,Day_of_Year,Month_of_Year,Day_of_Year_sin,Day_of_Year_cos,Month_of_Year_sin,Month_of_Year_cos,Next_Day_Precip,Flood_Event_Imminent
-79.4,43.67,TORONTO CITY,6158355,2019-01-08,2019,1,8,8.7,3.3,6.0,12.0,0.0,0.0,0.0,3.0,0.0,2019,2019-01-08,2.4,-0.9,2.4,0.0,0.0,5.699999999999999,0.0,0.0,8,1,0.1371854040566006,0.9905453876091832,0.4999999999999999,0.8660254037844386,0.9,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-09,2019,1,9,3.4,-3.5,-0.1,18.1,0.0,0.0,0.0,0.9,0.0,2019,2019-01-09,3.0,6.0,5.4,0.0,0.0,8.299999999999999,0.0,0.0,9,1,0.1542040475626894,0.9880390233767509,0.4999999999999999,0.8660254037844386,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-10,2019,1,10,-3.5,-10.3,-6.9,24.9,0.0,0.0,0.0,0.0,1.0,2019,2019-01-10,0.9,-0.1,6.3,0.0,0.0,6.3,0.0,0.0,10,1,0.17117705961019986,0.985240282501282,0.4999999999999999,0.8660254037844386,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-11,2019,1,11,-6.5,-12.2,-9.3,27.3,0.0,0.0,0.0,0.0,0.0,2019,2019-01-11,0.0,-6.9,3.9,0.0,0.0,6.3,0.0,0.0,11,1,0.18809941761179758,0.9821499931752292,0.4999999999999999,0.8660254037844386,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-12,2019,1,12,-4.1,-7.4,-5.7,23.7,0.0,0.0,0.0,0.0,1.0,2019,2019-01-12,0.0,-9.3,0.9,0.0,0.0,6.3,0.0,0.0,12,1,0.20496611396949535,0.9787690698649216,0.4999999999999999,0.8660254037844386,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-13,2019,1,13,-5.7,-10.3,-8.0,26.0,0.0,0.0,0.0,0.0,1.0,2019,2019-01-13,0.0,-5.7,0.0,0.0,0.0,6.3,0.0,0.0,13,1,0.22177215755648189,0.9750985130399611,0.4999999999999999,0.8660254037844386,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-14,2019,1,14,-1.1,-6.9,-4.0,22.0,0.0,0.0,0.0,0.0,1.0,2019,2019-01-14,0.0,-8.0,0.0,0.0,0.0,6.3,0.0,0.0,14,1,0.2385125751940765,0.9711394088771654,0.4999999999999999,0.8660254037844386,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-15,2019,1,15,0.9,-3.1,-1.1,19.1,0.0,0.0,0.0,0.0,1.0,2019,2019-01-15,0.0,-4.0,0.0,0.0,0.0,3.9,0.0,0.0,15,1,0.25518241312337286,0.9668929289391522,0.4999999999999999,0.8660254037844386,0.8,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-16,2019,1,16,0.2,-9.7,-4.8,22.8,0.0,0.0,0.0,0.8,1.0,2019,2019-01-16,0.0,-1.1,0.0,0.0,0.0,0.9,0.0,0.0,16,1,0.27177673847113576,0.9623603298276546,0.4999999999999999,0.8660254037844386,0.2,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-17,2019,1,17,-2.0,-11.4,-6.7,24.7,0.0,0.0,0.0,0.2,1.0,2019,2019-01-17,0.8,-4.8,0.8,0.0,0.0,0.8,0.0,0.0,17,1,0.28829064070951776,0.957542952811672,0.4999999999999999,0.8660254037844386,1.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-18,2019,1,18,0.8,-8.7,-3.9,21.9,0.0,0.0,0.0,1.0,1.0,2019,2019-01-18,0.2,-6.7,1.0,0.0,0.0,1.0,0.0,0.0,18,1,0.30471923310916343,0.9524422234305677,0.4999999999999999,0.8660254037844386,8.1,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-19,2019,1,19,-8.5,-15.5,-12.0,30.0,0.0,0.0,0.0,8.1,2.0,2019,2019-01-19,1.0,-3.9,2.0,0.0,0.0,2.0,0.0,0.0,19,1,0.321057654185271,0.9470596510722284,0.4999999999999999,0.8660254037844386,2.6,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-20,2019,1,20,-14.2,-21.5,-17.9,35.9,0.0,0.0,0.0,2.6,8.0,2019,2019-01-20,8.1,-12.0,9.299999999999999,0.0,0.0,10.1,0.0,0.0,20,1,0.33730106913618424,0.9413968285264122,0.4999999999999999,0.8660254037844386,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-21,2019,1,21,-11.0,-21.5,-16.2,34.2,0.0,0.0,0.0,0.0,3.0,2019,2019-01-21,2.6,-17.9,11.7,0.0,0.0,12.7,0.0,0.0,21,1,0.35344467127408774,0.9354554315134164,0.4999999999999999,0.8660254037844386,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-22,2019,1,22,1.0,-14.7,-6.9,24.9,0.0,0.0,0.0,0.0,3.0,2019,2019-01-22,0.0,-16.2,10.7,0.0,0.0,12.7,0.0,0.0,22,1,0.36948368344738314,0.929237218188205,0.4999999999999999,0.8660254037844386,11.0,1
-79.4,43.67,TORONTO CITY,6158355,2019-01-23,2019,1,23,5.7,-0.2,2.7,15.3,0.0,0.0,0.0,11.0,4.0,2019,2019-01-23,0.0,-6.9,2.6,0.0,0.0,12.7,0.0,0.0,23,1,0.38541335945432564,0.9227440286201426,0.4999999999999999,0.8660254037844386,4.1,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-24,2019,1,24,4.2,-2.4,0.9,17.1,0.0,0.0,0.0,4.1,2.0,2019,2019-01-24,11.0,2.7,11.0,0.0,0.0,22.9,0.0,0.0,24,1,0.40122898544750096,0.9159777842484875,0.4999999999999999,0.8660254037844386,0.4,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-25,2019,1,25,-2.3,-10.4,-6.3,24.3,0.0,0.0,0.0,0.4,3.0,2019,2019-01-25,4.1,0.9,15.1,0.0,0.0,26.799999999999997,0.0,0.0,25,1,0.4169258813287287,0.9089404873138079,0.4999999999999999,0.8660254037844386,0.2,0
