Longitude (x)__Derived,Latitude (y)__Derived,Station Name__Derived,Climate ID__Derived,Date/Time__Derived,Year__Source,Month__Source,Day__Source,Max Temp (°C)__Source,Min Temp (°C)__Source,Mean Temp (°C)__Source,Heat Deg Days (°C)__Derived,Cool Deg Days (°C)__Derived,Total Rain (mm)__Source,Total Snow (cm)__Source,Total Precip (mm)__Source,Snow on Grnd (cm)__Derived,DownloadYear__Derived,Date__Source,Precip_Last_Day__Derived,Mean_Temp_Last_Day__Derived,Precip_3day_sum__Derived,Total_Rain_3day_sum__Derived,Total_Snow_3day_sum__Derived,Precip_7day_sum__Derived,Total_Rain_7day_sum__Derived,Total_Snow_7day_sum__Derived,Day_of_Year__Derived,Month_of_Year__Derived,Day_of_Year_sin__Derived,Day_of_Year_cos__Derived,Month_of_Year_sin__Derived,Month_of_Year_cos__Derived,Next_Day_Precip__Target,Flood_Event_Imminent__Target
-79.4,43.67,TORONTO CITY,6158355,2019-12-10,2019,12,10,10.7,-5.6,2.6,15.4,0.0,0.0,0.0,0.4,0.0,2019,2019-12-10,7.4,8.1,7.4,0.0,0.0,14.800000000000008,0.0,0.0,344,12,-0.3574644155648614,0.9339267592294762,-2.4492935982947064e-16,1.0,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-06-08,2020,6,8,22.8,12.2,17.5,0.5,0.0,0.0,0.0,0.6,0.0,2020,2020-06-08,0.0,17.2,5.299999999999999,0.0,0.0,15.300000000000011,0.0,0.0,160,6,0.37945284372454435,-0.9252110782893579,1.2246467991473532e-16,-1.0,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-08-28,2020,8,28,23.6,17.5,20.6,0.0,2.6,0.0,0.0,0.0,0.0,2020,2020-08-28,0.0,24.9,7.5,0.0,0.0,8.900000000000015,0.0,0.0,241,8,-0.8437282590292711,-0.5367705514607103,-0.8660254037844383,-0.5000000000000003,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-02-10,2019,2,10,-2.5,-7.8,-5.1,23.1,0.0,0.0,0.0,0.3,2.0,2019,2019-02-10,0.0,-5.9,1.2,0.0,0.0,14.5,0.0,0.0,41,2,0.6482618097757122,0.7614175109532998,0.8660254037844385,0.5000000000000001,0.7,0
-79.4,43.67,TORONTO CITY,6158355,2020-03-22,2020,3,22,2.2,-4.7,-1.2,19.2,0.0,0.0,0.0,0.0,1.0,2020,2020-03-22,0.9,-2.9,7.799999999999999,0.0,0.0,12.600000000000009,0.0,0.0,82,3,0.9871957872910085,0.15951325197263658,1.0,6.123233995736766e-17,12.1,1
-79.4,43.67,TORONTO CITY,6158355,2020-03-17,2020,3,17,9.0,0.7,4.9,13.1,0.0,0.0,0.0,0.4,2.0,2020,2020-03-17,1.5,0.9,2.299999999999998,0.0,0.0,12.100000000000009,0.0,0.0,77,3,0.9698431969672942,0.2437297136096839,1.0,6.123233995736766e-17,2.1,0
-79.4,43.67,TORONTO CITY,6158355,2019-03-14,2019,3,14,10.9,2.5,6.7,11.3,0.0,0.0,0.0,6.5,4.0,2019,2019-03-14,0.0,1.3,0.2,0.0,0.0,15.5,0.0,0.0,73,3,0.9507903724625832,0.30983490383180257,1.0,6.123233995736766e-17,0.8,0
-79.4,43.67,TORONTO CITY,6158355,2019-04-27,2019,4,27,8.5,1.8,5.1,12.9,0.0,0.0,0.0,0.0,0.0,2019,2019-04-27,19.4,8.5,19.4,0.0,0.0,31.599999999999998,0.0,0.0,117,4,0.903946192922401,-0.42764620926777464,0.8660254037844387,-0.4999999999999997,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-09-19,2019,9,19,22.9,15.1,19.0,0.0,1.0,0.0,0.0,0.0,0.0,2019,2019-09-19,0.0,18.2,0.0,0.0,0.0,8.200000000000006,0.0,0.0,262,9,-0.978988873740932,-0.20391367068311475,-1.0,-1.8369701987210297e-16,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-05-08,2020,5,8,5.7,-1.5,2.1,15.9,0.0,0.0,0.0,0.6,0.0,2020,2020-05-08,1.3,8.5,3.9000000000000004,0.0,0.0,9.300000000000011,0.0,0.0,129,5,0.7971015927871944,-0.6038452208771034,0.4999999999999999,-0.8660254037844386,1.0,0
